trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",30,0,-216.3404832943173,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.9, 'e': 0.8999999999999999}",20,0,-133.36616031973404,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.8499999999999999}",35,0,-177.73239508905058,"{0: 25, 1: 3, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.9, 'e': 0.7999999999999998}",25,0,-116.51635267508983,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.7499999999999998}",25,0,-78.48114797918286,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.6999999999999997}",35,0,-109.1620923665197,"{0: 22, 1: 6, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.6499999999999997}",25,0,-51.488731522836,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.5999999999999996}",20,0,-103.01111424549065,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.5499999999999996}",20,0,-84.97465716812212,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.4999999999999996}",20,0,-56.54137286003403,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.4499999999999996}",25,8,-142.46810956967647,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
12,False,"{'a': 0.9, 'e': 0.39999999999999963}",20,5,-14.784520430841676,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.34999999999999964}",30,0,-69.0621052874193,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.29999999999999966}",25,0,-57.84980242535247,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.24999999999999967}",30,4,-52.998353631467054,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.9, 'e': 0.19999999999999968}",20,0,-34.983442484512246,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.1499999999999997}",20,10,5.8226363698038135,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.09999999999999969}",20,6,-26.13568310293559,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.049999999999999684}",25,0,-22.77992645471817,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': -3.191891195797325e-16}",25,11,-5.280552465072607,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,12.344584553991387,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,13,16.507549111556973,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,13,37.282308235080706,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,22.414298479767435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,2,41.62124747510819,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-4.893048188094279,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,12,-9.609331628912098,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,16.662637458185145,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-14.04656592295481,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,1,-50.6069865817166,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
