trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-126.3808176596514,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-119.38904579804307,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-91.03659640701188,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-74.12790621047581,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-99.86052226902491,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",30,0,-260.19628279060873,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-32.20269530871512,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-133.3751491594145,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-82.58495465789775,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",30,0,-147.11227905797864,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-138.1506781224774,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,1,-101.2451871570593,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-103.99140471311895,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-72.679613339218,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,6,-94.5267943242279,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,14,-12.144240604353147,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",30,0,-109.40466713369489,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-54.144924249276734,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-169.65132739895233,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-90.96835464460024,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",25,0,-34.29727744068191,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",25,0,-112.42059913025605,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,5,-110.64705924305372,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-47.256036817750925,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",25,0,-83.94471355242192,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-106.22743493613115,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-36.92073545363163,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-126.60530486907396,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-113.51594484068053,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-129.04634413955387,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",30,0,-81.57486689885015,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,4,-93.41610623118255,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",20,0,-48.5045478419458,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-189.688134424316,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-63.970524500776385,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-29.064084827977187,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-158.40080565936225,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,3,-99.95244086474824,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-54.043664886657815,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,3,-36.75826737021422,"{0: 16, 1: 4, 2: 0, 3: 2, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-108.79549068982627,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",30,0,-172.02921440150052,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-169.9499125555342,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,9,-15.345297911466854,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,6,-24.17270001191675,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,6,-125.71386899462264,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-108.30281501659782,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-63.41350788565391,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",20,0,-102.8849351647791,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",30,0,-104.53024425099338,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",30,0,-141.70748296046997,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,0,-84.21296500717418,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",30,3,-79.51737948442218,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,15,-14.749384909381444,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,8,-103.03796222658367,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",30,0,-46.327891628584226,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",20,0,-71.04924400938054,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,0,-97.37477551911995,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-36.7506519946056,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-28.252167443301186,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,0,-46.62330065798998,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,11,-55.055811488372115,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",30,14,-50.20471707215162,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,12,8.598332774975503,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,0,-24.632904560316433,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,0,-132.82212563862404,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,0,-29.51330882467868,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-18.203880432778274,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-31.439116669037155,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-51.125593055731514,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,10,-26.42459352916083,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,16,-25.794435395864237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,0,-89.08024160898313,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.475340042005707}",30,7,-45.34897367954262,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,6,-28.353653638393045,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",35,0,-104.91535100110522,"{0: 25, 1: 3, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,12,5.327618367700861,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,9,-1.367507437470072,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",20,0,-81.51367078731923,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,12,-30.674867069099456,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,6,-6.81189097205957,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,0,-173.12003155548865,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",30,0,-30.867037862807194,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",25,1,-54.60132082273966,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",30,0,-93.46109858451487,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",30,0,-94.80062844053877,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",20,7,19.6652727250294,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",20,0,-35.5996238396897,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",25,12,-25.84396524753866,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",20,3,-10.457731663918853,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",30,17,-39.60232335559117,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",20,0,-48.26059536013487,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.392711028357805}",25,8,-50.54560475379398,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,0,6.096250489823866,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",20,7,10.138639344535356,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",25,2,-81.15905776218696,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",25,0,-45.42776144029063,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",20,14,12.07977710913149,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,0,-4.090923165003742,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",20,0,-74.51349284765341,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",20,8,8.719236627874118,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",20,0,5.605722544667485,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",20,10,-6.9147369298747385,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",25,0,20.700087110893797,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",20,11,-9.947105000262598,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",20,1,-41.929086619978875,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,5,0.7157492097540752,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",30,0,-37.18635059966222,"{0: 25, 1: 3, 2: 0, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,0,-70.30664264993216,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,0,-31.482735850573437,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",35,0,-116.85227648161758,"{0: 29, 1: 1, 2: 1, 3: 1, 4: 3}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,0,30.315428500351032,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,3,-53.61515025258856,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,0,-17.66921368857535,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,9,-79.33452470754283,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,0,8.106828012741712,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,6,7.0725636446619164,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,0,0.4204354575619904,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",35,17,-29.46812852060126,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",30,0,-95.61213579330806,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",20,9,-5.3435801709926976,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",25,0,8.061676237492065,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,0,-31.854818905961242,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",25,14,-0.8870741218431522,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",25,0,-132.356088967853,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,10,7.692034745687269,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",25,0,14.655982442184488,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,0,-4.8134243328962025,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",20,6,13.017709545484115,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",30,19,-0.3123339446833391,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",30,0,-82.19187540172659,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,11,-26.25835585177729,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",20,12,13.844279895765071,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",30,4,-23.753958792838013,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",25,4,36.19301339862734,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",30,21,12.56994691675546,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",25,0,20.200152271285038,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",25,7,18.093274292411795,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",30,18,-35.52563356628066,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,0,-7.592863519219808,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,13,-42.52857013327786,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",25,0,-35.27297617513965,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",25,0,-38.97554235684089,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",30,18,21.771322358787206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,18,-7.826994809580466,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,0,-24.675566824471865,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,14,5.776465627258749,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
