trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8}",30,0,-183.0069229558781,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8}",25,0,-159.3237446819079,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8}",25,0,-212.29741927870225,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.8}",20,0,-80.76771397752532,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8}",35,7,-140.99257325626584,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.8}",20,0,-91.8998791707627,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8}",20,0,-55.32858139808698,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8}",30,0,-199.42133378619312,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.8}",20,0,-67.5267057650561,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8}",25,0,-217.33722667698828,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8}",30,0,-334.0626231363989,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.8}",30,0,-65.07591340714919,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8}",25,0,-110.22340553820551,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8}",25,0,-195.82996645343766,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8}",30,0,-114.73363066313023,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8}",20,0,-130.77787247564405,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8}",20,0,-116.83831483101471,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8}",30,0,-116.36654450832845,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8}",25,0,-97.18970586253103,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8}",25,0,-232.50054269844463,"{0: 5, 1: 5, 2: 11, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-106.95794969306458,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-101.32194373072497,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-223.72756494440253,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-103.22382692662849,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-148.7836189521368,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-89.47895272557163,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-73.86939426368977,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-71.22767534187832,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,13,-41.20445634741012,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-111.81080051483336,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
