trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,0,-98.4548557757273,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,10,-15.471900222049557,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",35,0,-219.2074856055147,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-60.1603482225965,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-141.10456218672653,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,7,-21.775137775808417,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-77.03500827955507,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",25,0,-103.14037649118706,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",20,0,-71.94011610493357,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",25,2,-21.376698103285943,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-26.64237646037788,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",25,0,-117.11323496944478,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-162.3001877619995,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",30,5,-95.67439938316984,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,18,-58.90128031868429,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",30,3,-71.71252856277431,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-87.73745544803333,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,8,-9.636087622020506,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-98.26986307744203,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-161.06814179208934,"{0: 12, 1: 6, 2: 3, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,5,-6.50380020792171,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.004425697988050786}",25,10,-93.33003098419212,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",25,0,-143.0690770091718,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",25,0,-54.63904895209933,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
